name,slug,field,before,after,reason
"Dinosaur, Centrosaurus (Monoclonius)",dinosaur-centrosaurus-monoclonius-bfomnibus,armor_class,3 [16] head 4 [15] body,3 [16] head; 4 [15] body,manual Appendix A/B/C review
"Dinosaur, Centrosaurus (Monoclonius)",dinosaur-centrosaurus-monoclonius-bfomnibus,attacks,Gore or Trample (2d6),Gore or Trample (1d6+2),manual Appendix A/B/C review
"Dinosaur, Centrosaurus (Monoclonius)",dinosaur-centrosaurus-monoclonius-bfomnibus,special,None,"front/body AC, ceratopsian charge, trample multiple smaller foes, gore larger foes",manual Appendix A/B/C review
"Dinosaur, Pentaceratops",dinosaur-pentaceratops-bfomnibus,armor_class,"2 [17] head, 6 [13] body",2 [17] head; 6 [13] body,manual Appendix A/B/C review
"Dinosaur, Pentaceratops",dinosaur-pentaceratops-bfomnibus,attacks,Gore or Trample (2d6),Gore or Trample (1d6+2),manual Appendix A/B/C review
"Dinosaur, Pentaceratops",dinosaur-pentaceratops-bfomnibus,special,shapechanging,"front/body AC, ceratopsian charge, trample multiple smaller foes, gore larger foes",manual Appendix A/B/C review
"Dinosaur, Styracosaurus",dinosaur-styracosaurus-bfomnibus,armor_class,"2 [17] head, 4 [15] body",2 [17] head; 4 [15] body,manual Appendix A/B/C review
"Dinosaur, Styracosaurus",dinosaur-styracosaurus-bfomnibus,attacks,Gore or Trample (2d6),Gore or Trample (1d6+2),manual Appendix A/B/C review
"Dinosaur, Styracosaurus",dinosaur-styracosaurus-bfomnibus,special,None,"front/body AC, ceratopsian charge, trample multiple smaller foes, gore larger foes",manual Appendix A/B/C review
"Nazgorean, Hydramander",nazgorean-hydramander-bfomnibus,hit_dice,8 to 12,8 to 12 (+10),manual Appendix A/B/C review
"Nazgorean, Hydramander",nazgorean-hydramander-bfomnibus,special,"spells, invisibility, hold/grab, charm, sleep, immunity, darkvision","5-8 heads, heads can be attacked separately, sound-sensing, silent foes treated as invisible, immune to charm/mind reading, sunlight/dry-air weakness, darkvision",manual Appendix A/B/C review
"Nazgorean, Hydramander",nazgorean-hydramander-bfomnibus,hde,8,8 to 12,manual Appendix A/B/C review
"Nazgorean, Hydramander",nazgorean-hydramander-bfomnibus,xp,800,"800/1,100/1,400/1,700/2,000",manual Appendix A/B/C review
"Nazgorean, Hydramander",nazgorean-hydramander-bfomnibus,hde_xp,8/800,"8 to 12/800/1,100/1,400/1,700/2,000",manual Appendix A/B/C review
"Nazgorean, Nehnite",nazgorean-nehnite-bfomnibus,armor_class,"9 [10] soft portions, 5 [14] otherwise",9 [10] soft portions; 5 [14] otherwise,manual Appendix A/B/C review
"Nazgorean, Nehnite",nazgorean-nehnite-bfomnibus,hit_dice,1d4 per MU level (AB +1 per MU level),1d4* per Magic-User level,manual Appendix A/B/C review
"Nazgorean, Nehnite",nazgorean-nehnite-bfomnibus,attacks,Bite or Weapon (1d3),Bite (1d3 + poison) or Weapon (1d3),manual Appendix A/B/C review
"Nazgorean, Nehnite",nazgorean-nehnite-bfomnibus,special,"poison, spells, hold/grab, charm, sleep, acid, fire, lightning, see description","poison, Magic-User spellcasting, wands, commands Nazgoreans, immune to charm/mind reading, sunlight/dry-air weakness",manual Appendix A/B/C review
Oculus Rex (Common),oculus-rex-common-bfomnibus,armor_class,0 [19] body / 2 [17] main eye / 7 [12] eye stalks,0 [19] body; 2 [17] main eye; 7 [12] eye stalks,manual Appendix A/B/C review
Oculus Rex (Common),oculus-rex-common-bfomnibus,attacks,Bite (1d6),Bite (1d6) or Eye Power,manual Appendix A/B/C review
Oculus Rex (Common),oculus-rex-common-bfomnibus,special,"regeneration, spells, fear, gaze, charm, sleep, cold, surprise","anti-magic main-eye cone, seven eye powers, eyestalks can be severed, eye regeneration, surprised only 1-in-8",manual Appendix A/B/C review
Oculus Rex (Emperor),oculus-rex-emperor-bfomnibus,armor_class,0 [19] body / 2 [17] main eye / 7 [12] eye stalks,0 [19] body; 2 [17] main eye; 7 [12] eye stalks,manual Appendix A/B/C review
Oculus Rex (Emperor),oculus-rex-emperor-bfomnibus,attacks,Bite (1d6+1),Bite (1d6+1) or Eye Power,manual Appendix A/B/C review
Oculus Rex (Emperor),oculus-rex-emperor-bfomnibus,special,"regeneration, spells, fear, gaze, charm, sleep, cold, surprise","anti-magic main-eye cone, seven eye powers, eyestalks can be severed, eye regeneration, surprised only 1-in-8",manual Appendix A/B/C review
Oculus Vigilans,oculus-vigilans-bfomnibus,armor_class,"4 [15] body, 7 [12] main eye/eye stalk",4 [15] body; 7 [12] main eye/eye stalk,manual Appendix A/B/C review
Oculus Vigilans,oculus-vigilans-bfomnibus,attacks,Bite (1d6),Bite (1d6) or Eye Power,manual Appendix A/B/C review
Oculus Vigilans,oculus-vigilans-bfomnibus,special,"spells, clerical abilities, fear, hold/grab, surprise","spell-turning main-eye cone, 3-6 eyestalk powers, surprised only 1-in-6, eyes disabled by any hit, returns home if blinded",manual Appendix A/B/C review
Phaerim,phaerim-bfomnibus,hit_dice,1d6 hp (1 HD),1 (1d6 hp),manual Appendix A/B/C review
Phaerim,phaerim-bfomnibus,special,None,"flight limit, forest hiding 90%, indoor hiding 70%, Elf saves",manual Appendix A/B/C review
Sea Lion,sea-lion-bfomnibus,armor_class,"5 [14] head, 3 [16] body",5 [14] head; 3 [16] body,manual Appendix A/B/C review
Sea Lion,sea-lion-bfomnibus,special,None,"separate head/body AC, aquatic, lair treasure from previous victims",manual Appendix A/B/C review
Sea Monster,sea-monster-bfomnibus,hit_dice,7 to 12,7 to 12 (+10),manual Appendix A/B/C review
Sea Monster,sea-monster-bfomnibus,attacks,Bite or Claw (8d6),"Bite, Tentacle, or Claw (1d6+2; see description)",manual Appendix A/B/C review
Sea Monster,sea-monster-bfomnibus,special,hug,"custom sea-beast form, variable bite/tentacle/claw damage, ship-sinking predator",manual Appendix A/B/C review
Sea Monster,sea-monster-bfomnibus,hde,7,7 to 12,manual Appendix A/B/C review
Sea Monster,sea-monster-bfomnibus,xp,600,"600/800/1,100/1,400/1,700/2,000",manual Appendix A/B/C review
Sea Monster,sea-monster-bfomnibus,hde_xp,7/600,"7 to 12/600/800/1,100/1,400/1,700/2,000",manual Appendix A/B/C review
"Slime, Red",slime-red-bfomnibus,hit_dice,1 to 6,1* to 6*,manual Appendix A/B/C review
